Cp-name,Dataset,ExactMatchRatio,F1,Precision,Recall,Accuracy,AUROC,Recall-NoDamage,Recall-Crack,Recall-Efflorescence,Recall-Spalling,Recall-BarsExposed,Recall-Rust,Scaling,Other
codebrim-classif_MobileNetV3-Large_hta.pth,codebrim-classif,70.57,83.04,86.27,81.07,92.25,96.67,94.00,84.00,82.67,65.10,84.67,76.00,,
codebrim-classif-balanced_ViT_s8_1.pth,codebrim-classif-balanced,79.59,89.82,91.30,88.54,86.65,?,94.00,89.33,85.91,84.00,90.00,88.00,,
codebrim-classif-balanced_ViT_s8_0.pth,codebrim-classif-balanced,77.53,89.62,89.65,89.76,86.05,?,95.33,92.00,84.56,90.67,90.67,85.33,,
codebrim-classif-balanced_ResNet50_hta.pth,codebrim-classif-balanced,71.36,84.13,85.33,83.20,92.59,96.99,93.33,85.33,77.18,84.67,85.33,73.33,,
codebrim-classif-balanced_MobileNetV3-Large_hta.pth,codebrim-classif-balanced,68.99,82.77,84.36,81.75,91.98,96.45,94.00,80.00,72.48,84.67,86.67,72.67,,
codebrim-classif-balanced_EfficientNetV1-B0_hta.pth,codebrim-classif-balanced,65.66,81.00,80.33,82.52,90.88,96.06,90.00,77.33,67.79,88.67,92.67,78.67,,
dacl1k_MobileNetV3-Large_hta.pth,dacl1k,23.29,56.94,75.72,46.95,76.18,82.58,65.22,22.50,43.18,44.44,35.85,70.54,,
mcds_bikit_MobileNetV3-Large_hta.pth,mcds_bikit,54.44,65.52,79.48,59.44,90.65,93.67,70.00,76.67,90.00,58.89,21.67,68.33,43.33,46.67
mcds_bikit_EfficientNetV1-B0_dha.pth,mcds_bikit,51.85,64.55,77.72,58.06,90.23,91.91,46.67,73.33,80.00,61.11,38.33,75.00,43.33,46.67
mcds_bikit_ResNet50_dha.pth,mcds_bikit,48.15,62.33,80.88,54.93,89.81,93.07,66.67,73.33,86.67,44.44,23.33,65.00,36.67,43.33
meta2_MobileNetV3-Large_hta.pth,meta2,70.41,82.99,87.43,80.10,92.39,96.50,94.44,88.33,70.39,82.22,68.57,76.67,,
meta2+dacl1k_MobileNetV3-Large_hta.pth,meta2+dacl1k,49.22,66.48,72.17,66.48,85.45,89.27,32.35,83.13,61.80,78.33,65.02,78.26,,
meta3_MobileNetV3-Large_hta.pth,meta3,81.52,85.28,90.84,81.20,95.31,98.03,97.29,93.75,65.92,82.59,71.43,76.19,,
meta3+dacl1k_MobileNetV3-Large_hta.pth,meta3+dacl1k,75.22,82.14,90.41,76.18,93.40,96.85,93.54,85.54,60.67,78.33,65.40,73.60,,
meta4_MobileNetV3-Large_hta.pth,meta4,77.84,79.40,87.68,74.85,93.01,97.69,99.17,60.82,67.60,81.48,69.52,70.48,,
meta4+dacl1k_MobileNetV3-Large_hta.pth,meta4+dacl1k,76.81,76.44,86.19,71.11,92.76,97.40,98.42,61.85,59.18,73.61,59.70,73.91,,
